Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Bill Laimbeer;1988-89;1980s;31;DET;0.768;0.988;1;3;32.6;13.7;9.6;2.2;0.6;1.2;1.6;3.2;5.5;11.1;0.499;0.516;2.2;2.6;0.84;0.557;16.6;0.164;3;0;0
Dennis Rodman;1988-89;1980s;27;DET;0.768;1;0.098;4;26.9;9;9.4;1.2;0.7;0.9;1.5;3.6;3.9;6.5;0.595;0.601;1.2;1.9;0.626;0.613;16.3;0.175;4.7;0;0
Chris Mullin;1988-89;1980s;25;GSW;0.524;1;1;1;37.7;26.5;5.9;5.1;2.1;0.5;3.6;2.2;10.1;19.9;0.509;0.516;6;6.7;0.892;0.581;21.9;0.165;3.7;0.004;0
Mitch Richmond;1988-89;1980s;23;GSW;0.524;0.963;1;2;34.4;22;5.9;4.2;1;0.2;3.4;2.8;8.2;17.5;0.468;0.48;5.2;6.4;0.81;0.541;17.2;0.098;-0.2;0;0
Hakeem Olajuwon;1988-89;1980s;26;HOU;0.549;1;1;1;36.9;24.8;13.5;1.8;2.6;3.4;3.4;4;9.6;19;0.508;0.508;5.5;8;0.696;0.552;25.2;0.197;5.4;0.211;0
Magic Johnson;1988-89;1980s;29;LAL;0.695;0.939;1;1;37.5;22.5;7.9;12.8;1.8;0.3;4.1;2.2;7.5;14.8;0.509;0.535;6.7;7.3;0.911;0.625;26.9;0.267;9.3;0.782;1
James Worthy;1988-89;1980s;27;LAL;0.695;0.988;1;2;36.5;20.5;6;3.6;1.3;0.7;2.2;2.2;8.7;15.8;0.548;0.548;3.1;4;0.782;0.582;19;0.158;3.1;0;0
Terry Cummings;1988-89;1980s;27;MIL;0.598;0.976;0.975;1;35.3;22.9;8.1;2.5;1.3;0.9;2.5;3.3;9.1;19.5;0.467;0.469;4.5;5.8;0.787;0.518;19.7;0.131;1.7;0.001;0
Patrick Ewing;1988-89;1980s;26;NYK;0.634;0.976;1;1;36.2;22.7;9.3;2.4;1.5;3.5;3.3;3.9;9.1;16;0.567;0.567;4.5;6.1;0.746;0.607;22.1;0.181;4.7;0.235;0
Mark Jackson;1988-89;1980s;23;NYK;0.634;0.878;1;2;34.4;16.9;4.7;8.6;1.9;0.1;3.1;2.3;6.7;14.2;0.467;0.507;2.5;3.6;0.698;0.535;18.3;0.14;3.3;0;0
Charles Barkley;1988-89;1980s;25;PHI;0.561;0.963;1;1;39.1;25.8;12.5;4.1;1.6;0.8;3.2;3.3;8.9;15.3;0.579;0.594;7.6;10.1;0.753;0.653;27;0.25;9.8;0.111;0
Tom Chambers;1988-89;1980s;29;PHO;0.671;0.988;1;1;37.1;25.7;8.4;2.9;1.1;0.7;2.9;3.3;9.6;20.3;0.471;0.48;6.3;7.4;0.851;0.547;19.3;0.146;1.2;0.024;0
Eddie Johnson;1988-89;1980s;29;PHO;0.671;0.854;0.1;3;29.2;21.5;4.4;2.3;0.7;0.1;1.7;2.8;8.7;17.5;0.497;0.526;3.1;3.6;0.868;0.564;19.4;0.152;1.3;0;0
Kevin Johnson;1988-89;1980s;22;PHO;0.671;0.988;1;2;39.2;20.4;4.2;12.2;1.7;0.3;4;2.8;7;13.9;0.505;0.506;6.3;7.1;0.882;0.597;20.5;0.184;3.5;0.026;0
Clyde Drexler;1988-89;1980s;26;POR;0.476;0.951;1;1;39.3;27.2;7.9;5.8;2.7;0.7;3.2;3.4;10.6;21.4;0.496;0.504;5.6;7;0.799;0.555;23.6;0.197;7.3;0;0
Terry Porter;1988-89;1980s;25;POR;0.476;0.988;1;2;38.3;17.7;4.5;9.5;1.8;0.1;3.1;2.3;6.7;14.1;0.471;0.506;3.4;4;0.84;0.555;17.7;0.142;2.2;0;0
Dale Ellis;1988-89;1980s;28;SEA;0.573;1;1;1;38.9;27.5;4.2;2;1.3;0.3;2.7;2.4;10.5;20.9;0.501;0.549;4.6;5.6;0.816;0.589;19.7;0.163;2.1;0;0
Karl Malone;1988-89;1980s;25;UTA;0.622;0.976;1;1;39.1;29.1;10.7;2.7;1.8;0.9;3.6;3.6;10.1;19.5;0.519;0.521;8.8;11.5;0.766;0.592;24.4;0.233;6.1;0.426;0
John Stockton;1988-89;1980s;26;UTA;0.622;1;1;2;38.7;17.1;3;13.6;3.2;0.2;3.8;2.9;6.1;11.3;0.538;0.547;4.8;5.5;0.863;0.624;22.9;0.236;4.8;0.033;0
Mark Eaton;1988-89;1980s;32;UTA;0.622;1;1;3;35.5;6.2;10.3;1;0.5;3.8;1.7;3.5;2.3;5;0.462;0.462;1.6;2.4;0.66;0.513;10.6;0.108;3;0.004;0
