Player;Season;Decade;Age;Team;Team_Win_Percentage;Games_Played_Percentage;Games_Started_Percentage;Player_Ranking;Minutes_Played_per_Game;Points_per_Game;Rebounds_per_Game ;Assists_per_Game ;Steals_per_Game;Blocks_per_Game;Turnovers_per_Game;Personal_Fouls_per_Game ;Field_Goals_Made_per_Game;Field_Goals_Attempted_per_Game;FG_Percentage;eFG_Percentage;Free_Throws_Made_per_Game;Free_Throws_Attempted_per_Game;FT_Percentage;TS_Percentage;PER;WS_per_48_Minutes;BPM;MVP_Share;MVP
Eddie Jones;1999-00;2000s;28;CHH;0.598;0.878;1;1;39;20.1;4.8;4.2;2.7;0.7;2.2;2.4;6.6;15.5;0.427;0.484;5;5.8;0.864;0.555;19.9;0.172;5.3;0;0
Elton Brand;1999-00;2000s;20;CHI;0.207;0.988;0.988;1;37;20.1;10;1.9;0.8;1.6;2.8;3.2;7.8;16.1;0.482;0.482;4.5;6.6;0.685;0.528;20.6;0.121;1.8;0;0
Michael Finley;1999-00;2000s;26;DAL;0.488;1;1;1;42.2;22.6;6.3;5.3;1.3;0.4;2.4;2.1;9.1;20;0.457;0.487;3.2;3.9;0.82;0.522;19.2;0.114;2.4;0.001;0
Grant Hill;1999-00;2000s;27;DET;0.512;0.902;1;1;37.5;25.8;6.6;5.2;1.4;0.6;3.2;2.6;9.4;19.2;0.489;0.501;6.5;8.2;0.795;0.565;24.5;0.185;4.8;0.093;0
Jerry Stackhouse;1999-00;2000s;25;DET;0.512;1;1;2;38.4;23.6;3.8;4.5;1.3;0.4;3.8;2.3;7.5;17.6;0.428;0.456;7.5;9.2;0.815;0.545;18.9;0.111;0.6;0;0
Steve Francis;1999-00;2000s;22;HOU;0.415;0.939;1;1;36.1;18;5.3;6.6;1.5;0.4;4;3;6.5;14.5;0.445;0.493;3.7;4.7;0.786;0.543;18.4;0.111;3.3;0;0
Reggie Miller;1999-00;2000s;34;IND;0.683;0.988;1;2;36.9;18.1;3;2.3;1;0.3;1.6;1.6;5.8;12.9;0.448;0.527;4.6;5;0.919;0.603;17.3;0.162;3.3;0.001;0
Jalen Rose;1999-00;2000s;27;IND;0.683;0.976;1;1;37.2;18.2;4.8;4;1.1;0.6;2.4;2.9;7;15;0.471;0.503;3.2;3.8;0.827;0.547;16.7;0.118;2.1;0.001;0
Shaquille O'Neal;1999-00;2000s;27;LAL;0.817;0.963;1;1;40;29.7;13.6;3.8;0.5;3;2.8;3.2;12.1;21.1;0.574;0.574;5.5;10.4;0.524;0.578;30.6;0.283;9.7;0.998;1
Kobe Bryant;1999-00;2000s;21;LAL;0.817;0.805;0.939;2;38.2;22.5;6.3;4.9;1.6;0.9;2.8;3.3;8.4;17.9;0.468;0.488;5;6.1;0.821;0.546;21.7;0.202;5.3;0;0
Alonzo Mourning;1999-00;2000s;29;MIA;0.646;0.963;0.987;1;34.8;21.7;9.5;1.6;0.5;3.7;2.7;3.9;8.3;15;0.551;0.551;5.2;7.4;0.711;0.596;25.8;0.226;4.6;0.303;0
Ray Allen;1999-00;2000s;24;MIL;0.512;1;1;1;37.4;22.1;4.4;3.8;1.3;0.2;2.2;2.3;7.8;17.2;0.455;0.516;4.3;4.9;0.887;0.57;20.6;0.157;3;0;0
Sam Cassell;1999-00;2000s;30;MIL;0.512;0.988;1;3;35.8;18.6;3.7;9;1.3;0.1;3.3;3.1;6.7;14.4;0.466;0.477;4.8;5.5;0.876;0.551;21.1;0.152;1.8;0;0
Glenn Robinson;1999-00;2000s;27;MIL;0.512;0.988;1;2;35.9;20.9;6;2.4;1;0.5;2.8;2.6;8.5;18;0.472;0.502;2.8;3.5;0.802;0.534;17.8;0.08;-0.8;0;0
Kevin Garnett;1999-00;2000s;23;MIN;0.61;0.988;1;1;40;22.9;11.8;5;1.5;1.6;3.3;2.5;9.4;18.8;0.497;0.507;3.8;5;0.765;0.545;23.6;0.172;6.1;0.337;0
Terrell Brandon;1999-00;2000s;29;MIN;0.61;0.866;1;2;36.4;17.1;3.4;8.9;1.9;0.4;2.6;2.2;6.8;14.7;0.466;0.492;2.6;2.9;0.899;0.535;20.8;0.159;2.9;0;0
Stephon Marbury;1999-00;2000s;22;NJN;0.378;0.902;1;1;38.9;22.2;3.2;8.4;1.5;0.2;3.6;2.6;7.7;17.8;0.432;0.457;5.9;7.2;0.813;0.528;20.7;0.123;1.8;0;0
Darrell Armstrong;1999-00;2000s;31;ORL;0.5;1;1;1;31.6;16.2;3.3;6.1;2.1;0.1;3;1.7;5.9;13.6;0.433;0.494;2.7;3;0.911;0.542;19.5;0.149;4.4;0.001;0
Allen Iverson;1999-00;2000s;24;PHI;0.598;0.854;1;1;40.8;28.4;3.8;4.7;2.1;0.1;3.3;2.3;10.4;24.8;0.421;0.446;6.3;8.9;0.713;0.496;20;0.116;2.6;0.109;0
Clifford Robinson;1999-00;2000s;33;PHO;0.646;0.976;0.838;3;35.5;18.5;4.5;2.8;1.1;0.8;2.1;3;6.6;14.3;0.464;0.517;3.7;4.8;0.782;0.564;17.3;0.162;2.6;0;0
Anfernee Hardaway;1999-00;2000s;28;PHO;0.646;0.732;1;2;37.6;16.9;5.8;5.3;1.6;0.6;2.6;2.7;6.3;13.3;0.474;0.494;3.8;4.8;0.79;0.549;17.9;0.165;3.6;0;0
Jason Kidd;1999-00;2000s;26;PHO;0.646;0.817;1;1;39;14.3;7.2;10.1;2;0.4;3.4;2.2;5.2;12.8;0.409;0.442;3;3.7;0.829;0.498;18.4;0.156;4.1;0.021;0
Rasheed Wallace;1999-00;2000s;25;POR;0.72;0.988;0.951;1;35.1;16.4;7;1.8;1.1;1.3;1.9;2.7;6.7;12.9;0.519;0.522;2.9;4.1;0.704;0.556;18.1;0.156;2.1;0;0
Chris Webber;1999-00;2000s;26;SAC;0.537;0.915;1;1;38.4;24.5;10.5;4.6;1.6;1.7;2.9;3.5;10;20.6;0.483;0.492;4.1;5.5;0.751;0.53;23.4;0.179;5.9;0.07;0
Tim Duncan;1999-00;2000s;23;SAS;0.646;0.902;1;1;38.9;23.2;12.4;3.2;0.9;2.2;3.3;2.8;8.5;17.3;0.49;0.491;6.2;8.1;0.761;0.555;24.8;0.218;6.1;0.205;0
David Robinson;1999-00;2000s;34;SAS;0.646;0.976;1;2;32;17.8;9.6;1.8;1.2;2.3;2.1;3.1;6.6;12.9;0.512;0.512;4.6;6.4;0.726;0.568;24.6;0.238;5.5;0;0
Gary Payton;1999-00;2000s;31;SEA;0.549;1;1;1;41.8;24.2;6.5;8.9;1.9;0.2;2.7;2.2;9.1;20.3;0.448;0.502;3.8;5.2;0.735;0.535;23.6;0.195;6.8;0.149;0
Vince Carter;1999-00;2000s;23;TOR;0.549;1;1;1;38.1;25.7;5.8;3.9;1.3;1.1;2.2;3.2;9.6;20.7;0.465;0.493;5.3;6.7;0.791;0.543;23.4;0.182;4.6;0.042;0
Karl Malone;1999-00;2000s;36;UTA;0.671;1;1;1;35.9;25.5;9.5;3.7;1;0.9;2.8;2.8;9.2;18;0.509;0.51;7.2;9;0.797;0.582;27.1;0.249;6.9;0.258;0
John Stockton;1999-00;2000s;37;UTA;0.671;1;1;2;29.7;12.1;2.6;8.6;1.7;0.2;2.2;2.3;4.4;8.8;0.501;0.53;2.7;3.1;0.86;0.591;22.4;0.222;3.7;0;0
Shareef Abdur-Rahim;1999-00;2000s;23;VAN;0.268;1;1;1;39.3;20.3;10.1;3.3;1.1;1.1;3;3;7.2;15.6;0.465;0.477;5.4;6.7;0.809;0.547;20.2;0.132;2.3;0;0
Paul Pierce;2000-01;2000s;23;BOS;0.439;1;1;1;38;25.3;6.4;3.1;1.7;0.8;3.2;3.1;8.4;18.5;0.454;0.503;6.7;9;0.745;0.563;22.3;0.16;3.2;0.004;0
Antoine Walker;2000-01;2000s;24;BOS;0.439;0.988;1;2;41.9;23.4;8.9;5.5;1.7;0.6;3.7;3.1;8.8;21.2;0.413;0.478;3.1;4.3;0.716;0.505;18.9;0.093;3.9;0;0
Jamal Mashburn;2000-01;2000s;28;CHH;0.561;0.927;1;1;39.3;20.1;7.6;5.4;1.1;0.2;2.8;2.4;7.5;18.3;0.413;0.45;3.7;4.8;0.766;0.493;17.5;0.118;2.3;0;0
Elton Brand;2000-01;2000s;21;CHI;0.183;0.902;1;1;39.3;20.1;10.1;3.2;1;1.6;3;3.3;7.8;16.4;0.476;0.476;4.5;6.4;0.708;0.524;20.4;0.101;2.2;0;0
Andre Miller;2000-01;2000s;24;CLE;0.366;1;1;1;34.7;15.8;4.4;8;1.5;0.3;3.2;2.8;5.5;12.2;0.452;0.461;4.6;5.5;0.833;0.541;20.1;0.136;2.9;0;0
Dirk Nowitzki;2000-01;2000s;22;DAL;0.646;1;1;2;38.1;21.8;9.2;2.1;1;1.2;1.9;3;7.2;15.2;0.474;0.534;5.5;6.6;0.838;0.601;22.8;0.224;4.7;0;0
Michael Finley;2000-01;2000s;27;DAL;0.646;1;1;1;42;21.5;5.2;4.4;1.4;0.4;2.3;2.1;8.7;18.9;0.458;0.487;3.1;4;0.775;0.521;18.2;0.119;2.3;0.001;0
Steve Nash;2000-01;2000s;26;DAL;0.646;0.854;1;3;34.1;15.6;3.2;7.3;1;0.1;2.9;2.3;5.5;11.3;0.487;0.544;3.3;3.7;0.895;0.603;19.6;0.169;2.2;0;0
Antonio McDyess;2000-01;2000s;26;DEN;0.488;0.854;1;1;36.5;20.8;12.1;2.1;0.6;1.5;2.3;3.1;8.2;16.6;0.495;0.495;4.3;6.2;0.7;0.538;22;0.146;1.1;0;0
Nick Van Exel;2000-01;2000s;29;DEN;0.488;0.866;0.986;2;37.9;17.7;3.4;8.5;0.9;0.3;2.3;1.5;6.5;15.7;0.414;0.474;2.9;3.5;0.819;0.515;18.5;0.114;1.1;0;0
Jerry Stackhouse;2000-01;2000s;26;DET;0.39;0.976;1;1;40.2;29.8;3.9;5.1;1.2;0.7;4.1;2;9.7;24.1;0.402;0.445;8.3;10.1;0.822;0.521;21.8;0.137;3.7;0.002;0
Antawn Jamison;2000-01;2000s;24;GSW;0.207;1;1;1;41.4;24.9;8.7;2;1.4;0.3;2.4;2.7;9.8;22.1;0.442;0.459;4.7;6.5;0.715;0.499;19;0.094;0;0;0
Steve Francis;2000-01;2000s;23;HOU;0.549;0.976;0.988;1;39.9;19.9;6.9;6.5;1.8;0.4;3.3;3.4;6.9;15.2;0.451;0.506;4.5;5.5;0.817;0.563;21.6;0.184;6.6;0;0
Lamar Odom;2000-01;2000s;21;LAC;0.378;0.927;0.974;1;37.3;17.2;7.8;5.2;1;1.6;3.5;3.1;6.3;13.8;0.46;0.498;3.4;5.1;0.679;0.536;18.9;0.111;4.6;0;0
Shaquille O'Neal;2000-01;2000s;28;LAL;0.683;0.902;1;1;39.5;28.7;12.7;3.7;0.6;2.8;2.9;3.5;11;19.2;0.572;0.572;6.7;13.1;0.513;0.574;30.2;0.245;7.3;0.466;0
Kobe Bryant;2000-01;2000s;22;LAL;0.683;0.829;1;2;40.9;28.5;5.9;5;1.7;0.6;3.2;3.3;10.3;22.2;0.464;0.484;7;8.2;0.853;0.552;24.5;0.196;4.2;0.009;0
Eddie Jones;2000-01;2000s;29;MIA;0.61;0.768;0.921;2;36.2;17.4;4.6;2.7;1.7;0.9;2.1;2.9;6.2;13.8;0.445;0.497;3.6;4.3;0.844;0.553;18.8;0.166;4.3;0;0
Anthony Mason;2000-01;2000s;34;MIA;0.61;0.976;1;1;40.7;16.1;9.6;3.1;1;0.3;2.2;2.9;5.8;11.9;0.482;0.482;4.6;5.9;0.781;0.555;17.4;0.171;2.7;0.001;0
Ray Allen;2000-01;2000s;25;MIL;0.634;1;1;1;38.2;22;5.2;4.6;1.5;0.2;2.5;2.3;7.7;16;0.48;0.557;4.2;4.8;0.888;0.61;22.9;0.211;5.6;0.006;0
Sam Cassell;2000-01;2000s;31;MIL;0.634;0.927;0.987;3;35.6;18.2;3.8;7.6;1.2;0.1;2.9;2.8;7.1;14.9;0.474;0.488;3.6;4.3;0.858;0.542;20.1;0.15;1.1;0;0
Glenn Robinson;2000-01;2000s;28;MIL;0.634;0.927;0.974;2;37;22;6.9;3.3;1.1;0.8;2.9;2.5;9;19.2;0.468;0.487;3.3;4;0.82;0.525;20.1;0.114;0.7;0;0
Kevin Garnett;2000-01;2000s;24;MIN;0.573;0.988;1;1;39.5;22;11.4;5;1.4;1.8;2.8;2.5;8.7;18.2;0.477;0.484;4.4;5.8;0.764;0.531;23.9;0.176;5.7;0.122;0
Terrell Brandon;2000-01;2000s;30;MIN;0.573;0.951;1;2;36.2;16;3.8;7.5;2.1;0.3;2;1.8;6.6;14.5;0.451;0.465;2.5;2.9;0.871;0.507;20;0.145;2.5;0;0
Stephon Marbury;2000-01;2000s;23;NJN;0.317;0.817;1;1;38.2;23.9;3.1;7.6;1.2;0.1;2.9;2.2;8.4;19.1;0.441;0.484;5.4;6.8;0.79;0.54;22.7;0.147;3.7;0;0
Marcus Camby;2000-01;2000s;26;NYK;0.585;0.768;1;1;33.8;12;11.5;0.8;1;2.2;1;3.3;4.8;9.2;0.524;0.525;2.4;3.6;0.667;0.559;20.9;0.233;4.2;0;0
Tracy McGrady;2000-01;2000s;21;ORL;0.524;0.939;1;1;40.1;26.8;7.5;4.6;1.5;1.5;2.6;2.1;10.2;22.4;0.457;0.474;5.6;7.6;0.733;0.521;24.9;0.189;5.6;0.052;0
Darrell Armstrong;2000-01;2000s;32;ORL;0.524;0.915;1;2;36.9;15.9;4.6;7;1.8;0.2;2.7;2.1;5.5;13.4;0.412;0.484;2.9;3.3;0.884;0.535;18.6;0.151;3.5;0;0
Allen Iverson;2000-01;2000s;25;PHI;0.683;0.866;1;1;42;31.1;3.8;4.6;2.5;0.3;3.3;2.1;10.7;25.5;0.42;0.447;8.2;10.1;0.814;0.518;24;0.19;4.8;0.904;1
Shawn Marion;2000-01;2000s;22;PHO;0.622;0.963;1;2;36.2;17.3;10.7;2;1.7;1.4;1.6;2.7;7.1;14.7;0.48;0.489;3;3.7;0.81;0.532;21;0.196;4.2;0;0
Jason Kidd;2000-01;2000s;27;PHO;0.622;0.939;0.987;1;39.8;16.9;6.4;9.8;2.2;0.3;3.7;2.2;5.9;14.2;0.411;0.443;4.3;5.2;0.814;0.51;19.4;0.15;4.8;0.015;0
Rasheed Wallace;2000-01;2000s;26;POR;0.61;0.939;0.974;1;38.2;19.2;7.8;2.8;1.2;1.8;2.1;2.7;7.7;15.3;0.501;0.523;3.2;4.2;0.766;0.56;20.9;0.18;4.1;0;0
Chris Webber;2000-01;2000s;27;SAC;0.671;0.854;1;1;40.5;27.1;11.1;4.2;1.3;1.7;2.8;3.2;11.2;23.4;0.481;0.481;4.6;6.6;0.703;0.516;24.7;0.186;4.9;0.42;0
Peja Stojakovic;2000-01;2000s;23;SAC;0.671;0.915;1;2;38.7;20.4;5.8;2.2;1.2;0.2;1.9;1.9;7.5;15.9;0.47;0.531;3.6;4.2;0.856;0.576;18.4;0.168;2.5;0;0
Tim Duncan;2000-01;2000s;24;SAS;0.707;1;1;1;38.7;22.2;12.2;3;0.9;2.3;3;3;8.6;17.1;0.499;0.502;5;8.1;0.618;0.536;23.8;0.2;5.4;0.569;0
David Robinson;2000-01;2000s;35;SAS;0.707;0.976;1;2;29.6;14.4;8.6;1.5;1;2.5;1.5;2.7;5;10.3;0.486;0.486;4.4;5.9;0.747;0.559;23.7;0.246;5.5;0.006;0
Gary Payton;2000-01;2000s;32;SEA;0.537;0.963;1;1;41.1;23.1;4.6;8.1;1.6;0.3;2.6;2.3;9.2;20.1;0.456;0.488;3.4;4.5;0.766;0.522;22.1;0.16;4.3;0;0
Vince Carter;2000-01;2000s;24;TOR;0.573;0.915;1;1;39.7;27.6;5.5;3.9;1.5;1.1;2.2;2.7;10.2;22.1;0.46;0.509;5.1;6.7;0.765;0.551;25;0.208;7;0.006;0
Karl Malone;2000-01;2000s;37;UTA;0.646;0.988;1;1;35.7;23.2;8.3;4.5;1.1;0.8;3;2.7;8.3;16.6;0.498;0.499;6.6;8.3;0.793;0.572;24.7;0.217;5.9;0.017;0
John Stockton;2000-01;2000s;38;UTA;0.646;1;1;2;29.2;11.5;2.8;8.7;1.6;0.3;2.5;2.4;4;7.9;0.504;0.551;2.8;3.4;0.817;0.61;22.3;0.216;3.5;0.001;0
Shareef Abdur-Rahim;2000-01;2000s;24;VAN;0.28;0.988;1;1;40;20.5;9.1;3.1;1.1;1;2.9;2.9;7.5;15.8;0.472;0.477;5.5;6.6;0.834;0.549;19.1;0.126;2.2;0;0
Jason Terry;2001-02;2000s;24;ATL;0.402;0.951;1;2;38;19.3;3.5;5.7;1.8;0.2;2.3;2;6.7;15.6;0.43;0.5;3.6;4.4;0.835;0.549;19.2;0.139;3.2;0;0
Shareef Abdur-Rahim;2001-02;2000s;25;ATL;0.402;0.939;1;1;38.7;21.2;9;3.1;1.3;1.1;3.2;2.8;7.8;16.8;0.461;0.469;5.4;6.8;0.801;0.536;19.8;0.116;2;0;0
Paul Pierce;2001-02;2000s;24;BOS;0.598;1;1;1;40.3;26.1;6.9;3.2;1.9;1;2.9;2.9;8.6;19.5;0.442;0.508;6.3;7.8;0.809;0.57;22.3;0.187;4.9;0.017;0
Antoine Walker;2001-02;2000s;25;BOS;0.598;0.988;1;2;42;22.1;8.8;5;1.5;0.5;3.1;2.9;8.2;20.9;0.394;0.46;3;4;0.741;0.49;17.1;0.094;3;0;0
Baron Davis;2001-02;2000s;22;CHH;0.537;1;1;1;40.5;18.1;4.3;8.5;2.1;0.6;3;2.9;6.8;16.4;0.417;0.48;2.4;4.1;0.58;0.498;18.2;0.118;4.2;0;0
Andre Miller;2001-02;2000s;25;CLE;0.354;0.988;1;1;37.3;16.5;4.7;10.9;1.6;0.4;3;2.8;5.9;12.9;0.454;0.464;4.5;5.5;0.817;0.538;21.8;0.163;3.4;0;0
Dirk Nowitzki;2001-02;2000s;23;DAL;0.695;0.927;1;1;38;23.4;9.9;2.4;1.1;1;1.9;2.9;7.9;16.6;0.477;0.532;5.8;6.8;0.853;0.599;24.1;0.222;4.7;0.025;0
Steve Nash;2001-02;2000s;27;DAL;0.695;1;1;2;34.6;17.9;3.1;7.7;0.6;0;2.8;2;6.4;13.3;0.483;0.554;3.2;3.6;0.887;0.602;20.7;0.167;2.3;0.004;0
Ben Wallace;2001-02;2000s;27;DET;0.61;0.976;1;1;36.5;7.6;13;1.4;1.7;3.5;0.9;2.2;3.2;6;0.531;0.531;1.2;2.9;0.423;0.522;18.6;0.19;5.9;0.019;0
Jerry Stackhouse;2001-02;2000s;27;DET;0.61;0.927;1;2;35.3;21.4;4.1;5.3;1;0.5;3.5;2.1;6.9;17.4;0.397;0.43;6.5;7.6;0.858;0.518;19;0.104;0.7;0.002;0
Steve Francis;2001-02;2000s;24;HOU;0.341;0.695;0.982;1;41.1;21.6;7;6.4;1.2;0.4;3.9;3;7.4;17.7;0.417;0.451;5.7;7.4;0.773;0.517;19.1;0.091;2.9;0;0
Elton Brand;2001-02;2000s;22;LAC;0.476;0.976;1;1;37.8;18.2;11.6;2.4;1;2;2.2;3.2;6.7;12.6;0.527;0.527;4.9;6.6;0.742;0.586;23.6;0.216;6.2;0.001;0
Kobe Bryant;2001-02;2000s;23;LAL;0.707;0.976;1;2;38.3;25.2;5.5;5.5;1.5;0.4;2.8;2.9;9.4;20;0.469;0.479;6.1;7.4;0.829;0.544;23.2;0.199;4.4;0.078;0
Shaquille O'Neal;2001-02;2000s;29;LAL;0.707;0.817;0.985;1;36.1;27.2;10.7;3;0.6;2;2.6;3;10.6;18.3;0.579;0.579;5.9;10.7;0.555;0.59;29.7;0.262;7;0.553;0
Eddie Jones;2001-02;2000s;30;MIA;0.439;0.988;1;1;39;18.3;4.7;3.2;1.4;1;1.8;3.2;6.4;14.8;0.432;0.494;3.7;4.4;0.837;0.546;17.5;0.16;4.2;0;0
Ray Allen;2001-02;2000s;26;MIL;0.5;0.841;0.971;1;36.6;21.8;4.5;3.9;1.3;0.3;2.3;2.3;7.7;16.6;0.462;0.561;3.1;3.6;0.873;0.598;21.6;0.169;4.3;0;0
Sam Cassell;2001-02;2000s;32;MIL;0.5;0.902;0.986;2;35.2;19.7;4.2;6.7;1.2;0.2;2.4;2.8;7.5;16.2;0.463;0.492;3.8;4.4;0.86;0.545;21.3;0.158;2.3;0;0
Kevin Garnett;2001-02;2000s;25;MIN;0.61;0.988;1;1;39.2;21.2;12.1;5.2;1.2;1.6;2.8;2.3;8.1;17.3;0.47;0.484;4.4;5.5;0.801;0.536;23.8;0.194;6.7;0.013;0
Jason Kidd;2001-02;2000s;28;NJN;0.634;1;1;1;37.3;14.7;7.3;9.9;2.1;0.2;3.5;1.7;5.4;13.9;0.391;0.442;2.5;3;0.814;0.484;19.1;0.14;5.1;0.712;0
Tracy McGrady;2001-02;2000s;22;ORL;0.537;0.927;1;1;38.3;25.6;7.9;5.3;1.6;1;2.5;1.8;9.4;20.9;0.451;0.483;5.5;7.3;0.748;0.532;25.1;0.189;6;0.31;0
Allen Iverson;2001-02;2000s;26;PHI;0.524;0.732;0.983;1;43.7;31.4;4.5;5.5;2.8;0.2;4;1.7;11.1;27.8;0.398;0.422;7.9;9.8;0.812;0.489;21.9;0.126;3.8;0.023;0
Shawn Marion;2001-02;2000s;23;PHO;0.439;0.988;1;2;38.4;19.1;9.9;2;1.8;1.1;1.8;2.6;8.1;17.2;0.469;0.486;2.4;2.8;0.845;0.518;19.8;0.151;2.6;0;0
Stephon Marbury;2001-02;2000s;24;PHO;0.439;1;0.976;1;38.9;20.4;3.2;8.1;0.9;0.2;3.5;2.3;7.6;17.2;0.442;0.467;4.3;5.5;0.781;0.519;18.1;0.107;0.8;0;0
Rasheed Wallace;2001-02;2000s;27;POR;0.598;0.963;1;1;37.5;19.3;8.2;1.9;1.3;1.3;1.7;2.7;7.6;16.3;0.469;0.513;2.5;3.5;0.734;0.54;19.3;0.158;2.6;0;0
Peja Stojakovic;2001-02;2000s;24;SAC;0.744;0.866;1;2;37.3;21.2;5.3;2.5;1.1;0.2;2;1.7;7.7;15.9;0.484;0.541;4;4.5;0.876;0.592;19.3;0.179;2.7;0.001;0
Chris Webber;2001-02;2000s;28;SAC;0.744;0.659;1;1;38.4;24.5;10.1;4.8;1.7;1.4;2.9;3.4;9.9;19.9;0.495;0.497;4.7;6.3;0.749;0.54;24.4;0.2;6.2;0.029;0
Mike Bibby;2001-02;2000s;23;SAC;0.744;0.976;1;3;33.2;13.7;2.8;5;1.1;0.2;1.7;1.7;5.6;12.3;0.453;0.479;1.9;2.4;0.803;0.513;14.9;0.113;-0.4;0.001;0
Tim Duncan;2001-02;2000s;25;SAS;0.707;1;1;1;40.6;25.5;12.7;3.7;0.7;2.5;3.2;2.6;9.3;18.3;0.508;0.508;6.8;8.5;0.799;0.576;27;0.257;7.6;0.757;1
Brent Barry;2001-02;2000s;30;SEA;0.549;0.988;1;3;37.5;14.4;5.4;5.3;1.8;0.5;2;2.2;5;9.8;0.508;0.611;2.4;2.9;0.846;0.652;19.3;0.191;5.8;0;0
Rashard Lewis;2001-02;2000s;22;SEA;0.549;0.866;0.986;2;36.4;16.8;7;1.7;1.5;0.6;1.4;2.5;6.4;13.7;0.468;0.531;2.3;2.8;0.81;0.564;18.5;0.16;2.9;0;0
Gary Payton;2001-02;2000s;33;SEA;0.549;1;1;1;40.3;22.1;4.8;9;1.6;0.3;2.5;2.2;9;19.2;0.467;0.49;3.3;4.1;0.797;0.526;22.9;0.183;4.6;0.043;0
Vince Carter;2001-02;2000s;25;TOR;0.512;0.732;1;1;39.8;24.7;5.2;4;1.6;0.7;2.6;3.2;9.3;21.8;0.428;0.474;4.1;5.1;0.798;0.515;20.5;0.14;4.1;0;0
John Stockton;2001-02;2000s;39;UTA;0.537;1;1;2;31.3;13.4;3.2;8.2;1.9;0.3;2.5;2.5;4.9;9.5;0.517;0.534;3.4;3.9;0.857;0.601;21.9;0.2;3.3;0;0
Karl Malone;2001-02;2000s;38;UTA;0.537;0.976;1;1;38;22.4;8.6;4.3;1.9;0.7;3.3;2.9;7.9;17.5;0.454;0.457;6.4;8;0.797;0.532;21.1;0.155;3.7;0;0
Michael Jordan;2001-02;2000s;38;WAS;0.451;0.732;0.883;1;34.9;22.9;5.7;5.2;1.4;0.4;2.7;2;9.2;22.1;0.416;0.42;4.4;5.6;0.79;0.468;20.7;0.075;2.4;0.013;0
Shareef Abdur-Rahim;2002-03;2000s;26;ATL;0.427;0.988;1;1;38.1;19.9;8.4;3;1.1;0.5;2.6;3;7;14.6;0.478;0.487;5.6;6.7;0.841;0.566;19.9;0.151;1.7;0;0
Paul Pierce;2002-03;2000s;25;BOS;0.537;0.963;1;1;39.2;25.9;7.3;4.4;1.8;0.8;3.6;2.9;8.4;20.2;0.416;0.454;7.6;9.5;0.802;0.532;22.7;0.157;4.2;0.001;0
Steve Nash;2002-03;2000s;28;DAL;0.732;1;1;2;33.1;17.7;2.9;7.3;1;0.1;2.3;1.6;6.3;13.6;0.465;0.515;3.8;4.1;0.909;0.576;22.6;0.206;3.3;0.001;0
Dirk Nowitzki;2002-03;2000s;24;DAL;0.732;0.976;1;1;39;25.1;9.9;3;1.4;1;1.9;2.6;8.6;18.6;0.463;0.513;6;6.9;0.881;0.581;25.6;0.249;5.7;0.036;0
Chauncey Billups;2002-03;2000s;26;DET;0.61;0.902;1;2;31.4;16.2;3.7;3.9;0.9;0.2;1.8;1.8;4.9;11.8;0.421;0.506;4.3;4.9;0.878;0.582;20.4;0.204;4.2;0;0
Ben Wallace;2002-03;2000s;28;DET;0.61;0.89;1;1;39.4;6.9;15.4;1.6;1.4;3.2;1.2;2.5;2.9;6;0.481;0.482;1.2;2.6;0.45;0.486;17.2;0.176;5.1;0.028;0
Antawn Jamison;2002-03;2000s;26;GSW;0.463;1;1;1;39.3;22.2;7;1.9;0.9;0.5;2.2;2.4;8.4;17.9;0.47;0.492;4.6;5.8;0.789;0.542;19;0.126;0.3;0;0
Steve Francis;2002-03;2000s;25;HOU;0.524;0.988;1;1;41;21;6.2;6.2;1.7;0.5;3.7;3.1;7;16.2;0.435;0.468;5.9;7.3;0.8;0.541;20.6;0.16;4.9;0;0
Jermaine O'Neal;2002-03;2000s;24;IND;0.585;0.939;0.987;1;37.2;20.8;10.3;2;0.9;2.3;2.3;3.6;7.9;16.4;0.484;0.487;4.8;6.6;0.731;0.539;21.4;0.177;2.6;0;0
Elton Brand;2002-03;2000s;23;LAC;0.329;0.756;0.984;1;39.6;18.5;11.3;2.5;1.1;2.5;2.6;3.3;7.3;14.5;0.502;0.502;3.9;5.7;0.685;0.543;21.7;0.149;4.5;0;0
Shaquille O'Neal;2002-03;2000s;30;LAL;0.61;0.817;0.985;2;37.8;27.5;11.1;3.1;0.6;2.4;2.9;3.4;10.4;18.1;0.574;0.574;6.7;10.8;0.622;0.602;29.5;0.25;6.3;0.106;0
Kobe Bryant;2002-03;2000s;24;LAL;0.61;1;1;1;41.5;30;6.9;5.9;2.2;0.8;3.5;2.7;10.6;23.5;0.451;0.483;7.3;8.7;0.843;0.55;26.2;0.21;6.4;0.417;0
Sam Cassell;2002-03;2000s;33;MIL;0.512;0.951;0.987;1;34.6;19.7;4.4;5.8;1.1;0.2;2.3;2.8;7;14.9;0.47;0.495;4.9;5.7;0.861;0.565;22.3;0.171;2.6;0;0
Kevin Garnett;2002-03;2000s;26;MIN;0.622;1;1;1;40.5;23;13.4;6;1.4;1.6;2.8;2.4;9.1;18.1;0.502;0.508;4.6;6.1;0.751;0.553;26.4;0.225;8.7;0.732;0
